ID	Title	Year	Declarative_programming	GUI	MDE	Component_based	Rapid_app_development	Code_generation	Visual_programming	ABAC	Access_control_scheme	Databases	XACML	PaaS	Self_service_functionality	CASE	DSL	Data_models	Web_technologies	DevOps	SAP	BPMN	Cloud	Documentation_generation	Executable_modelling	Bizdevops	Extreme_programming	API	SPL	AI	Education	Industrial_training	Web	Mobile	Business_process	Manufacturing	Enterprise_services	IoT	Recommender_systems	Databases	Process	DSL_engineering	Request_handling	AI	Healthcare	Automotive	Aeronautics	Social_media	Blockchain	Marketing	Desktop	Appian	Kony	Mendix	MS_PowerApps	OutSystems	Salesforce	Aurea	RESTsec	Node_RED	AtmosphericIoT	Simplifier	Siemens_MindSphere	PTCThingWork	IDM_Cloud	MS_Azure	ADAMOS	INTELLIT	Zoho_Creator	Google_App_Maker	App_Cloud	ZappDev	Nintex_Workflow_Cloud	MIT_App_Inventor	Sysdev_Kalipso	KissFlow	HiCuMES	Camunda	AutoML	AgilePoint	Sagitec_S3	Gherkin2OSA	Lightening	Temenos_Quantum	Pega	ColdFusion_Builder	Cyclr	Genio	TimeSeries	Axonivy	Lansa	GUI_based_development	Limited_IT_resources	Digitalization_BP	Abstraction	Automation	Flexibility	Customisability	Usability	Maintainability	Interoperability	Privacy_or_security	Collaboration_different_stakeholders	Improved_RoI	Platform_independence	Reusability	Openness	Scalability
G1	Low-Code Principle #1: Model-Driven Development, The Most Important Concept in Low-Code	2020			X	X			X								X																																					X																																						X			X	X		X						X			X	
G2	Introducing the Low-Code Manifesto	2021			X				X											X			X																																																																					X			X	X	X	X						X				
G3	Low-code. High impact.																																X		X		X								X																																																															
G4	Low Code Applications & Model-Driven Development	2020				X																			X																																																																						X									X		X		X
G5	Do Model-Driven Development (MDD) platforms make good on their promises?	2016			X																																X								X																																								X							X			X	X								X				
G6	Get the right mix of low-code and pro code to modernize your enterprise applications	2020			X	X																						X																																																																																
G7	Introducing model-driven apps – a new way to create	2018			X	X			X														X																																X																																																					
G8	5 FAQs on the low-code approach	2020		X		X		X	X																																																																																						X													
G9	Low Code / No Code Development Platform				X	X			X																																									X					X																															X	X												X									
G10	What will Power Fx mean for Model-driven Power Apps?	2021	X		X																						X																												X																																																					
G11	Genio				X		X																						X	X																																																										X									X							X				
G12	"Evaluating low-code platforms:
What’s under the hood?"				X	X			X																			X																																																																																
G13	Top Evaluation Criteria for Selecting a Low-code Platform – Part 2	2021																															X	X																				X																																			X								X					X		X			X	X
G14	Low-Code Support					X			X																																																																																	X		X							X		X			X		X	X	
G15	Model Driven Development vs. Code Generation. What’s the right balance?	2020			X			X																																																																																																X				
G16	Process Meets Intelligence: From Workflow To Automated Enterprise	2021			X																																																	X																																																		X				
