#;Url;IC 1;IC 2;EC 1
1;https://dl.acm.org/doi/10.1145/3417990.3420203;;;x
2;https://www.mendix.com/blog/low-code-principle-1-model-driven-development/ ;x;x;-
3;https://www.sosym.org/theme_sections/;;;x
4;http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=38670;;;x
5;http://wikicfp.com/cfp/servlet/event.showcfp?eventid=55911&copyownerid=45217;;;x
6;https://www.linkedin.com/pulse/low-code-applications-model-driven-development-srdjan-kovacevic-phd/;x;x;-
7;https://www.bpmcompany.eu/en/do-model-driven-development-mdd-platforms-make-good-on-their-promises/;x;x;-
8;https://diginomica.com/right-mix-low-code-pro-code-enterprise-applications;x;x;-
9;https://powerapps.microsoft.com/sv-se/blog/introducing-model-driven-apps/;x;x;-
10;https://searchsoftwarequality.techtarget.com/feature/5-FAQs-on-the-low-code-approach;x;x;-
11;https://www.researchgate.net/figure/Principles-Standards-and-Tools_fig2_221202294;;;x
12;https://se.linkedin.com/in/alessiobucaioni;;;x
13;https://ingenieriadesoftware.es/que-es-low-code-no-code-modelos-generacion/;;-;
14;http://wikicfp.com/cfp/servlet/event.showcfp?eventid=38670&copyownerid=64593;;;x
15;https://researchr.org/publication/models-2020c;;;x
16;https://www.researchgate.net/publication/346589150_Towards_automating_the_construction_of_recommender_systems_for_low-code_development_platforms;;;x
17;https://www.researchgate.net/publication/282809419_AutoFOCUS_3_Tooling_Concepts_for_Seamless_Model-based_Development_of_Embedded_Systems;;;x
18;https://www.researchgate.net/publication/312483705_Model-Based_Software_Engineering_to_Tame_the_IoT_Jungle;;;x
19;https://aimultiple.com/low-code-platform;x;x;-
20;https://jukkaniiranen.com/2021/03/what-will-power-fx-mean-for-model-driven-power-apps/;x;x;-
21;https://quidgest.com/en/about-quidgest/genio-platform/;x;x;-
22;https://www.genus.no/blog/evaluating-low-code-platforms/;x;x;-
23;http://scholar.google.it/citations?user=YZDY1psAAAAJ&hl=vi;;;x
24;https://dblp.org/pid/18/948;;;x
25;https://siamakfarshidi.nl/publications/SoSyM.pdf;;;x
26;https://www.researchgate.net/figure/Simplified-UML-source-metamodel_fig2_302480923;;;x
27;https://www.timeseries.com/top-evaluation-criteria-for-selecting-a-low-code-platform-part-2/;x;x;-
28;https://www.researchgate.net/publication/220989605_Where_Is_the_Proof_-_A_Review_of_Experiences_from_Applying_MDE_in_Industry;;;x
29;https://www.researchgate.net/publication/347834721_Positioning_of_the_low-code_movement_within_the_field_of_model-driven_engineering;;;x
30;http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=123265&copyownerid=142432;;;x
31;http://www.wikicfp.com/cfp/program?id=160;;;x
32;https://www.axonivy.com/low-code-support;x;x;-
33;https://www.itbriefcase.net/model-driven-development-vs-code-generation;x;x;-
34;http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=46642&copyownerid=45217;;;x
35;https://dl.acm.org/profile/81100280243;;;x
36;https://modeling-languages.com/pricing-model-low-code-tools/;;;x
37;https://www.forbes.com/sites/forbestechcouncil/2021/05/27/process-meets-intelligence-from-workflow-to-automated-enterprise/?sh=2c06139f232d;x;x;-
38;https://www.researchgate.net/publication/302480923_MDA_Approach_to_Automate_Code_Generation_for_Mobile_Applications;;;x
39;https://www.researchgate.net/figure/Overview-of-the-keywording-process_fig1_319970142;;;x
40;https://www.researchgate.net/publication/315953486_Model-Driven_Software_Engineering_in_Practice_Second_Edition;;;x
